"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"25","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","15","43","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"26","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","16","9","no-var","Unexpected var, use let or const instead.","https://eslint.org/docs/latest/rules/no-var","suggestion","eslint-lwc"
"27","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","16","38","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"28","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","17","31","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"29","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","18","13","no-var","Unexpected var, use let or const instead.","https://eslint.org/docs/latest/rules/no-var","suggestion","eslint-lwc"
"30","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","18","17","prefer-destructuring","Use array destructuring.","https://eslint.org/docs/latest/rules/prefer-destructuring","suggestion","eslint-lwc"
"31","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","18","46","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"32","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","18","51","no-magic-numbers","No magic number: 1.","https://eslint.org/docs/latest/rules/no-magic-numbers","suggestion","eslint-lwc"
"33","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","18","53","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"34","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","20","17","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"35","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","21","17","sort-keys","Expected object keys to be in ascending order. 'base64' should be before 'filename'.","https://eslint.org/docs/latest/rules/sort-keys","suggestion","eslint-lwc"
"36","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","21","17","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"37","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","21","17","object-shorthand","Expected property shorthand.","https://eslint.org/docs/latest/rules/object-shorthand","suggestion","eslint-lwc"
"38","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","22","17","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"39","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","23","14","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"40","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","24","13","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
